example_id                                                              | status  | run_time        |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:3:1]                     | passed  | 0.02552 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:3:2]                     | passed  | 0.02618 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:4:1]                     | passed  | 0.06882 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:4:2]                     | passed  | 0.03417 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:4:3]                     | passed  | 0.03851 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:5:1]                     | passed  | 0.02136 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:6:1]                     | passed  | 0.05573 seconds |
./spec/requests/checkout_spec.rb[1:1:1:1]                               | passed  | 0.01271 seconds |
./spec/requests/checkout_spec.rb[1:1:2:1]                               | failed  | 0.02951 seconds |
./spec/requests/checkout_spec.rb[1:1:2:2]                               | passed  | 0.12403 seconds |
./spec/requests/mercado_pago_webhooks_spec.rb[1:1:1]                    | passed  | 0.2094 seconds  |
./spec/requests/mercado_pago_webhooks_spec.rb[1:1:2]                    | passed  | 0.00829 seconds |
./spec/requests/mercado_pago_webhooks_spec.rb[1:1:3]                    | passed  | 0.01498 seconds |
./spec/requests/mercado_pago_webhooks_spec.rb[1:1:4]                    | passed  | 0.04232 seconds |
./spec/requests/mercado_pago_webhooks_spec.rb[1:1:5]                    | passed  | 0.0062 seconds  |
./spec/requests/mercado_pago_webhooks_spec.rb[1:1:6]                    | passed  | 0.00504 seconds |
./spec/requests/plans_spec.rb[1:1:1:1]                                  | failed  | 0.03024 seconds |
./spec/requests/plans_spec.rb[1:1:2:1]                                  | failed  | 0.02688 seconds |
./spec/requests/plans_spec.rb[1:1:2:2]                                  | failed  | 0.02778 seconds |
./spec/requests/plans_spec.rb[1:1:2:3]                                  | failed  | 0.02785 seconds |
./spec/requests/plans_spec.rb[1:1:2:4]                                  | failed  | 0.02844 seconds |
./spec/requests/plans_spec.rb[1:1:2:5]                                  | failed  | 0.02693 seconds |
./spec/requests/profiles_spec.rb[1:1:1:1]                               | failed  | 0.02352 seconds |
./spec/requests/profiles_spec.rb[1:1:1:2]                               | failed  | 0.0286 seconds  |
./spec/requests/profiles_spec.rb[1:1:1:3]                               | failed  | 0.02848 seconds |
./spec/requests/wallets_spec.rb[1:1:1]                                  | passed  | 0.01548 seconds |
./spec/requests/wallets_spec.rb[1:1:2]                                  | passed  | 0.02779 seconds |
./spec/requests/wallets_spec.rb[1:1:3]                                  | passed  | 0.03681 seconds |
./spec/requests/wallets_spec.rb[1:1:4]                                  | passed  | 0.04086 seconds |
./spec/requests/wallets_spec.rb[1:1:5]                                  | passed  | 0.03017 seconds |
./spec/requests/wallets_spec.rb[1:2:1]                                  | passed  | 0.04259 seconds |
./spec/requests/wallets_spec.rb[1:2:2]                                  | passed  | 0.22823 seconds |
./spec/requests/wallets_spec.rb[1:3:1]                                  | passed  | 0.034 seconds   |
./spec/requests/wallets_spec.rb[1:3:2]                                  | passed  | 0.04805 seconds |
./spec/requests/wallets_spec.rb[1:3:3]                                  | passed  | 0.04551 seconds |
./spec/services/mercado_pago/checkout_preference_builder_spec.rb[1:1:1] | passed  | 0.02833 seconds |
./spec/services/mercado_pago/checkout_preference_builder_spec.rb[1:1:2] | passed  | 0.02142 seconds |
./spec/services/mercado_pago/checkout_preference_builder_spec.rb[1:1:3] | passed  | 0.02127 seconds |
./spec/services/mercado_pago/checkout_preference_builder_spec.rb[1:1:4] | passed  | 0.0233 seconds  |
./spec/services/mercado_pago/checkout_pro_service_spec.rb[1:1:1]        | passed  | 0.02418 seconds |
./spec/services/mercado_pago/checkout_pro_service_spec.rb[1:1:2]        | passed  | 0.01762 seconds |
./spec/services/mercado_pago/checkout_pro_service_spec.rb[1:1:3]        | passed  | 0.02161 seconds |
./spec/services/mercado_pago/checkout_pro_service_spec.rb[1:1:4]        | pending | 0.0027 seconds  |
./spec/services/mercado_pago/webhook_service_spec.rb[1:1:1]             | passed  | 0.03879 seconds |
./spec/services/mercado_pago/webhook_service_spec.rb[1:1:2]             | passed  | 0.00651 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:1:1]                   | passed  | 0.0521 seconds  |
./spec/services/wallet_deposit_service_spec.rb[1:1:2]                   | passed  | 0.03283 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:1:3]                   | passed  | 0.04903 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:1:4]                   | passed  | 0.03867 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:1:5]                   | passed  | 0.03294 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:1:6]                   | passed  | 0.02873 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:1:7]                   | passed  | 0.03527 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:2:1]                   | passed  | 0.03503 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:2:2]                   | passed  | 0.02737 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:2:3]                   | passed  | 0.06601 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:2:4]                   | passed  | 0.04338 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:3:1]                   | passed  | 0.04252 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:3:2]                   | passed  | 0.02696 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:3:3]                   | passed  | 0.06911 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:3:4]                   | passed  | 0.04481 seconds |
./spec/services/wallet_deposit_service_spec.rb[1:4:1]                   | passed  | 0.02329 seconds |
